Station Name,station_lat,station_lon,Bikes Available,restaurant_lat,restaurant_lon,name,distance,address,telephone,rating,open_true
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,810,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,798,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,812,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,752,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,767,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,860,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,762,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,650,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,928,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,989,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,545,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,911,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,938,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,222,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,329,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,460,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,636,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,703,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,803,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,919,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,788,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672258,-79.322801,Gautama,892,"1416 Gerrard St E, Toronto ON M4L 1Z6",(416) 469-4444,6.4,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,665,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,606,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,701,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,817,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,368,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,979,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,843,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,831,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,825,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.667359,-79.312862,Murphy's Law Irish Pub Inc,517,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,306,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,200,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,69,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672665,-79.321041,Udupi Palace,576,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.672278,-79.322523,Motimahal Restaurant Ltd,470,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Woodward Ave,43.665269,-79.319796,18,43.671871,-79.324283,Bombay Chowpatty,342,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,733,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,478,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,807,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,163,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,947,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,797,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,927,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,673,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,767,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,765,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,8,43.677961,-79.443916,Pizza e Pazzi,1013,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,8.1,0
Queen St E / Rhodes Ave,43.666224,-79.317693,15,43.672665,-79.321041,Udupi Palace,810,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,1
Queen St E / Rhodes Ave,43.666224,-79.317693,15,43.672278,-79.322523,Motimahal Restaurant Ltd,798,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,1
Queen St E / Rhodes Ave,43.666224,-79.317693,15,43.671871,-79.324283,Bombay Chowpatty,812,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,0
