name,distance,address,telephone,rating,review_counts,closed
The Famous Indian Cuisine,809.8067400048328,"('1410 Gerrard Street E', 'Toronto, ON M4L 1Z4', 'Canada')",+1 416-406-4511,4.0,66,False
Lahore Tikka House,787.4737977905058,"('1365 Gerrard Street E', 'Toronto, ON M4L 1Z3', 'Canada')",+1 416-406-1668,3.5,546,False
Leela Indian Food Bar,829.0861018161038,"('1386 Gerrard Street E', 'Toronto, ON M4L 1Z2', 'Canada')",+1 416-461-8088,4.0,20,False
Chandni Chowk Restaurant,816.8584969554906,"('1426 Gerrard Street E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-4466,4.0,32,False
Udupi Palace,839.3962424759334,"('1460 Gerrard Street E', 'Toronto, ON M4L 2A3', 'Canada')",+1 416-405-8189,3.5,208,False
Karma's Kitchen,772.1052134898712,"('1411 Gerrard Street E', 'Toronto, ON M4L 1Z5', 'Canada')",+1 647-345-2762,4.0,63,False
Motimahal,820.9476903595535,"('1422 Gerrard St E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-461-3111,3.5,112,False
Bombay Chowpatty,832.3577440278639,"('1386 Gerrard St E', 'Toronto, ON M4L', 'Canada')",+1 416-405-8080,3.0,59,False
Gautama,831.9117457097226,"('1416 Gerrard Street E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-4444,3.5,64,False
Lahore Grill & Fast Food,928.6752400193358,"('1274 Gerrard Street E', 'Toronto, ON M4L 1Y6', 'Canada')",+1 416-778-9785,3.5,14,False
The Social Gardener,839.3721467797657,"('1326 Gerrard Street  E', 'Toronto, ON M4L 1Z1', 'Canada')",+1 416-465-6021,3.5,5,False
KaSpace Cafe,1023.0188622260717,"('1183 Queen Street E', 'Toronto, ON M4M 1L6', 'Canada')",+1 647-657-9600,5.0,9,False
Butter Chicken Roti,269.8924212338174,"('1610 Queen Street E', 'Toronto, ON M4L 1G2', 'Canada')",+1 647-349-7684,2.5,13,False
Baldev Paan Cold Drink House,772.5122519140297,"('1399 Gerrard Street E', 'Toronto, ON M4L 1Z5', 'Canada')",+1 416-463-7226,3.5,4,False
Nitya Restaurant,778.3499920875655,"('1433 Gerrard St E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-1500,3.5,4,False
